doctor_id,nom,prenom,specialite,anciennete,salaire
1,Delahaye,Valérie,Cardiologie,7,10780
2,Lemonnier,Lucy,Ophtalmologie,13,14686
3,Delaunay,François,Généraliste,20,24603
4,Morvan,Suzanne,Pédiatrie,15,11415
5,Payet,Nathalie,Radiologie,19,9217
6,Descamps,Paulette,Gynécologie,2,20715
7,Monnier,René,Généraliste,14,20028
8,Besnard,Brigitte,Généraliste,15,11649
9,Labbé,Guillaume,ORL,6,9621
10,Le Goff,Audrey,Cardiologie,28,13989
11,Blanchet,Emmanuelle,Cardiologie,7,16851
12,Lecomte,Maurice,Dermatologie,27,9304
13,Hebert,François,Cardiologie,20,23175
14,Pascal,Noémi,Dermatologie,4,12113
15,Chevalier,Manon,Dermatologie,25,9394
16,Godard,Bernadette,ORL,4,9157
17,Hervé,Maryse,Ophtalmologie,12,11498
18,Blanchard,Pauline,Généraliste,11,22240
19,Gomes,Jacqueline,Dermatologie,15,21819
20,Descamps,Madeleine,Radiologie,19,21553
